Numero de dedos,Angulo indice,Angulo corazon,Angulo anular,Angulo menique,Ancho pulgar,Ancho indice,Ancho corazon,Ancho anular,Ancho menique,Pulgar extendido,Indice extendido,Corazon extendido,Anular extendido,Menique extendido,Pulgar contraido,Indice contraido,Corazon contraido,Anular contraido,Menique contraido,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Redondez,Compacidad,Clase
5.0,26.666666666666657,43.96396396396395,66.66666666666666,123.24324324324323,0.30013111054842734,0.3379312516832344,0.35817607602567286,0.3389234868382018,0.282753688604983,1.4,1.4,1.4,1.4,1.4,0.331018739869736,0.6402538452998319,0.9163578392165884,0.7645814429867713,2.4025562506085,0.30653477862561807,0.05342244624124724,3.0218323952000483e-05,0.00011794877230985797,7.030274903807869e-09,2.707754961665978e-05,-4.0034036151468375e-10,0.028718704482509575,109.39186534347688,1.0
5.0,29.189189189189165,47.56756756756755,72.79279279279277,130.0900900900901,0.26397613072671733,0.30052061820177883,0.3396933316961499,0.3208236511188674,0.3010385948286682,1.4,1.4,1.4,1.4,1.4,0.356818552700536,0.6288135411223037,0.7809307041844921,0.6365210588398721,0.25797284534240933,0.34318897196484377,0.06815832973140365,0.0022151055367013823,0.000243200788773766,1.3630540392879305e-07,4.139805944881384e-05,1.1525638679222865e-07,0.03742964795429559,83.93326748426578,1.0
5.0,28.468468468468473,47.56756756756758,71.7117117117117,131.8918918918919,0.26500664318799694,0.28332023386572697,0.3192228415371177,0.3193104294336069,0.3401931328790749,1.4,1.4,1.4,1.4,1.4,0.29584014666397346,0.5334474371141613,0.6556591549097132,0.5477705469618461,0.3545781479785571,0.34201215534564644,0.06725565920687585,0.004665801374565909,0.0005482537886599583,8.259787679272037e-07,0.00011997567234388809,2.943830750529781e-07,0.03954875457362546,79.43594400024116,1.0
5.0,29.54954954954954,46.12612612612611,67.74774774774775,116.75675675675674,0.3391590262921188,0.3393996105769656,0.35737540448920974,0.31983244223673585,0.33878856301793897,1.4,1.4,1.4,1.4,1.4,0.2836944101991507,0.592235205659234,0.8279820867990055,0.6466082469156595,2.4579888645628776,0.3148253350974134,0.05528806065809705,0.0024707061359115668,0.0004445131606196174,4.268692759664358e-07,0.00010170671550675332,-1.8652139699026875e-07,0.023207063742543114,135.37225943110744,1.0
5.0,35.3153153153153,63.063063063063055,107.027027027027,150.6306306306306,0.5451498780692395,0.5433943255889837,0.6368230492287437,0.9644276334127061,1.1567227419734898,1.4,1.4,1.4,1.4,1.4,0.7163693339089234,1.987371583672901,0.7599111981336061,0.29373323939025975,0.37642809903632696,0.27482439126042657,0.025528764689953996,0.001588614297649716,5.734757686682671e-05,1.2870817513708832e-08,4.0133954323209475e-06,1.157398579087265e-08,0.008579102307108467,366.191303137478,1.0
5.0,36.396396396396426,60.1801801801802,96.21621621621622,243.96396396396398,0.4894874253414743,0.48912735931447376,0.5072114556494909,0.7841604567957792,1.1832953170751737,1.4,1.4,1.4,1.4,1.4,0.39711472384370483,0.7891845433388212,1.6924905845047349,0.2517475483998614,4.186694720452834,0.2654057798720473,0.023061930862687378,0.0014889866492539554,9.618627109892849e-05,2.449167107162138e-08,7.137282221710433e-06,2.6929562656599694e-08,0.011724219428590487,267.9575107515266,1.0
4.0,42.882882882882896,71.71171171171171,175.49549549549545,0.0,1.672015507192946,0.32035798611433297,1.0347658227800125,0.8556726179082881,0.0,1.4,1.4,1.4,1.4,0.0,1.4010502483499514,1.2614261256970332,0.8882571744602348,4.521275656871061,0.0,0.1926288125531384,0.0040296744581548635,0.00012017059865177862,1.1167314794724013e-05,-2.636990628074206e-10,-1.1667450912188228e-07,-3.127619582810828e-10,0.026637833149351572,117.93724496942676,1.0
4.0,33.15315315315314,144.86486486486484,258.3783783783784,0.0,0.263502544771111,0.2640830681174015,0.3582347986221895,0.8734493002535061,0.0,1.4,1.4,1.4,1.4,0.0,0.04312228464589751,0.5302471383756681,0.2509475497874897,4.231610791037702,0.0,0.2455093227641999,0.02267846647647996,0.0002970207473049817,5.897978194406516e-05,7.791674452394426e-09,8.295378201130758e-06,4.784795291631835e-10,0.012814115197571953,245.16656867460262,1.0
4.0,30.630630630630634,61.26126126126127,110.63063063063063,0.0,0.3204928178596742,0.727980769637743,0.37598371777103096,0.39490865313129964,0.0,1.4,1.4,1.4,1.4,0.0,0.521944652286631,1.2174742545256803,2.2211100959392565,0.25162828603047876,0.0,0.3131215089637296,0.044755592920976923,0.005916747939607491,0.0004139722299247893,-4.773661489063759e-07,-6.668677758362067e-05,-4.380380680133682e-07,0.021495572326805275,146.1506865612591,1.0
4.0,27.027027027027046,41.441441441441455,238.55855855855856,0.0,0.28168369339562416,0.3195464217565883,0.3951350796691191,0.9013315853392156,0.0,1.4,1.4,1.4,1.4,0.0,0.33348901758321203,0.44731577760946056,1.178038147423151,2.8186885250203355,0.0,0.2353421552490173,0.01630804123996013,0.0022131774178539,0.00016181950698972682,9.629160199026914e-08,1.8071170890943625e-05,1.0290658368041026e-08,0.01939542700272429,161.97594686358406,1.0
5.0,54.41441441441441,77.11711711711712,163.24324324324323,287.56756756756755,0.18800185470995595,0.28285554186265627,0.3200975063370042,0.22600105536141438,0.9722214839516534,1.4,1.4,1.4,1.4,1.4,0.0768353892562307,0.7451296941194685,1.3253619519857032,0.08008693299433807,3.5099044791049314,0.22374397236839744,0.013097624344141155,0.00036994837175682963,6.254071894611531e-05,9.078563189401903e-09,6.318454168819917e-07,-2.8417885774850705e-09,0.015805014218932767,198.77189669506856,1.0
3.0,82.88288288288288,228.1081081081081,0.0,0.0,1.2527304229149385,0.928194636660832,0.28280945502710436,0.0,0.0,1.4,1.4,1.4,0.0,0.0,3.8678749807140553,0.928194636660832,0.5951722823575064,0.0,0.0,0.23364860468941756,0.010457910395579716,0.002512152742665847,0.00017029354638176206,9.320303474025831e-08,1.7185918878788873e-05,6.098726649799584e-08,0.016490446509264064,190.5098598649162,1.0
2.0,11.171171171171181,0.0,0.0,0.0,0.20649954162596273,0.20807258776742796,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.6943555099048291,0.5828281231692377,0.0,0.0,0.0,0.18932325428756275,0.0025970152180838017,0.000607293793841365,1.9574161899081475e-05,5.873867705464494e-10,-2.1988552953211896e-07,-2.051720537396861e-09,0.008104416386891126,387.6395910100709,1.0
2.0,95.13513513513513,0.0,0.0,0.0,0.488178953513806,0.6738708380266498,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.170526454447441,2.8161924270497156,0.0,0.0,0.0,0.18790292029833178,0.001646401965900465,1.9140856466223016e-05,4.125140727303886e-05,-6.615715099514901e-10,6.257671856189528e-07,-9.518124245783037e-10,0.012897945044103118,243.5731151627224,1.0
4.0,27.02702702702703,43.24324324324323,237.1171171171171,0.0,0.28251863300085567,0.31992802456947783,0.5076234663103121,0.954479926504258,0.0,1.4,1.4,1.4,1.4,0.0,0.32263678722963246,0.5089786106982107,1.027184685930209,3.0202765976182038,0.0,0.20768310407316196,0.01003757181721,0.0013381378432576823,0.0001203967013010879,3.4835875875135335e-08,6.618757937967893e-06,3.349286747400201e-08,0.01699544725324502,184.8490720354508,1.0
4.0,33.513513513513516,60.90090090090089,103.78378378378378,0.0,0.3387228815577215,0.8199357681000478,0.33824360127380565,0.24442357369788828,0.0,1.4,1.4,1.4,1.4,0.0,0.571539573371968,1.0737948614845183,0.8476968442798765,0.10077244770120589,0.0,0.24409581638354272,0.02272311001922695,0.0002661999159521068,2.4888415708590696e-05,1.7848462908851303e-09,1.628449000410816e-06,9.58254208534358e-10,0.027544316798026578,114.05592945456078,1.0
2.0,181.6216216216216,0.0,0.0,0.0,0.39380268912042427,0.4695214240554512,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,3.0812225173714887,0.09826842079707782,0.0,0.0,0.0,0.1979846879957668,0.0042726923165628565,0.0004921926223179178,3.4321818012620855e-05,3.919524954236523e-09,1.5656455311650943e-06,2.130022932282724e-09,0.014002927072224454,224.3525683870273,1.0
2.0,15.13513513513513,0.0,0.0,0.0,0.43245571690969375,0.20706859326793564,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.1394416816839059,0.2807899129360091,0.0,0.0,0.0,0.18877734782773314,0.008362174387759588,0.00012950293369687164,1.1922384298239363e-05,1.3085526856445607e-10,-2.5538758169930185e-07,-4.4982636852726215e-10,0.01456472148366054,215.6987798986884,1.0
4.0,21.98198198198199,41.44144144144144,70.27027027027026,0.0,0.3764081879327371,0.7105649057034594,0.26360205127188746,0.33845430465741677,0.0,1.4,1.4,1.4,1.4,0.0,0.2097150348498361,0.22427659235831873,0.1645557795314251,0.059863898415264336,0.0,0.19242400158768636,0.006160128344481629,0.0012635505101436701,0.00010606443106065674,3.175359588572588e-08,6.291178584749319e-06,2.2346452143872664e-08,0.024164124595398354,130.01061309657607,1.0
5.0,18.738738738738732,36.756756756756744,59.8198198198198,101.98198198198196,0.28314747667613416,0.33942965302155365,0.33888612715052213,0.37607410119401313,0.28268625059938696,1.4,1.4,1.4,1.4,1.4,0.6021681774533,0.7214361688460132,1.241198485541837,0.9636933517112457,0.14466475578390028,0.26565233394881205,0.028803428260487526,0.0019794229628187225,6.68796111318726e-05,-1.9825500504286363e-08,-7.288460353648669e-06,1.4109687757055746e-08,0.039598712227420535,79.33572777688374,1.0
